,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Shortest distance,Height diff,LULC,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
42,43,40000,1,4,0,75,65,120,170,0,0,0,0,188.4,4,7,120,1,0,0,0,1,0,0,1,0,1,0,0,159.7459142879093
43,44,60000,1,3,0,75,60,120,170,0,0,0,0,139.45,4,7,120,1,0,0,0,1,0,1,0,0,1,0,0,119.21048766015963
44,45,65000,1,4,0,75,40,180,230,0,0,0,0,74.4,3,7,240,1,0,0,1,0,0,1,0,1,0,0,0,263.49973926469687
45,46,100000,1,4,0,75,25,360,410,0,0,0,0,35.36,1,7,400,0,1,0,1,0,0,1,0,1,0,0,0,402.293328897378
46,47,70000,1,5,0,75,25,285,330,0,0,0,0,51.62,1,7,400,0,1,0,1,0,0,0,1,1,0,0,0,416.86662980130023
47,48,100000,1,6,0,75,55,240,290,0,0,0,0,90.8,1,7,240,1,0,0,1,0,0,0,1,0,1,0,0,388.4834339833606
48,49,85000,1,6,0,75,50,120,170,0,0,0,0,136.56,2,7,120,1,0,0,0,1,0,1,0,1,0,0,0,329.7561072627313
49,50,100000,1,6,0,75,65,300,350,0,0,0,0,150.72,4,7,120,1,0,0,0,1,0,1,0,1,0,0,0,389.75334159981537
50,51,90000,1,6,0,75,75,120,170,0,0,0,0,102.08,1,7,180,1,0,0,0,1,0,0,1,1,0,0,0,280.3356246708263
51,52,105000,1,6,0,75,50,240,290,0,0,0,0,114.39,3,7,180,1,0,0,0,1,0,0,1,0,1,0,0,397.59481255363323
52,53,75000,1,4,0,75,60,120,170,0,0,0,0,139.29,4,7,160,1,0,0,0,1,0,0,1,1,0,0,0,182.56841603939208
53,54,75000,1,4,0,75,75,120,170,0,0,0,0,188.53,3,7,120,1,0,0,0,1,0,1,0,0,1,0,0,144.05871188495584
54,55,75000,1,6,0,75,50,200,250,0,0,0,0,189.11,3,7,120,1,0,0,0,1,0,1,0,1,0,0,0,362.6221827362772
55,56,75000,1,4,0,75,70,120,170,0,0,0,0,151.82,3,7,120,1,0,0,0,1,0,1,0,0,1,0,0,159.63139765801603
56,57,75000,1,5,0,75,60,310,360,0,0,0,0,98.27,3,7,200,1,0,0,0,1,0,1,0,1,0,0,0,348.19312975073376
57,58,75000,1,3,0,75,35,285,330,0,0,0,0,66.1,3,7,240,1,0,0,1,0,0,0,1,1,0,0,0,270.67736760338073
58,59,75000,1,3,0,75,30,330,380,0,0,0,0,54.04,2,7,270,1,0,0,0,1,0,0,1,1,0,0,0,309.2051769034412
59,60,75000,1,3,0,75,25,280,330,0,0,0,0,37.12,1,7,300,1,0,0,1,0,0,0,1,1,0,0,0,295.42666436221384
60,61,80000,1,4,0,75,40,210,260,0,0,0,0,77.16,2,7,240,1,0,0,0,1,0,0,1,0,1,0,0,283.46379338052725
61,62,40000,1,4,0,75,45,165,210,0,0,0,0,118.44,2,7,200,1,0,0,0,1,0,1,0,0,1,0,0,237.0166175797931
62,63,75000,1,4,0,75,50,165,210,0,0,0,0,176.82,3,7,120,1,0,0,0,1,0,1,0,0,0,0,1,223.79954387442191
63,64,40000,1,4,0,75,90,100,150,0,0,0,0,235.36,6,7,80,1,0,0,0,1,0,1,0,0,0,0,1,86.97321806531312
64,65,45000,1,3,0,75,130,165,210,0,0,0,0,254.87,7,7,60,1,0,0,0,1,0,0,1,0,0,0,1,-30.953177715028858
65,66,90000,1,6,0,75,120,165,210,0,0,0,0,296.1,9,7,60,1,0,0,0,1,0,0,1,0,1,0,0,174.67101359900096
66,67,50000,1,4,0,75,50,200,250,0,0,0,0,207.2,5,7,120,1,0,0,1,0,0,0,1,0,1,0,0,231.61741615338346
67,68,60000,1,3,0,75,75,165,210,0,0,0,0,238.32,6,7,90,1,0,0,1,0,0,0,1,0,1,0,0,94.0856509805489
68,69,60000,1,4,0,75,70,165,210,0,0,0,0,197.28,5,7,120,1,0,0,0,1,0,0,1,0,1,0,0,173.30686546980348
69,70,60000,1,6,0,75,120,310,360,0,0,0,0,228.64,6,7,60,1,0,0,0,1,0,0,1,0,1,0,0,256.0310449402248
70,71,60000,1,4,0,75,120,165,210,0,0,0,0,237.98,6,7,40,1,0,0,0,1,0,1,0,1,0,0,0,57.22910664700788
71,72,60000,1,5,0,75,130,165,210,0,0,0,0,197.31,5,7,100,1,0,0,0,1,0,1,0,1,0,0,0,101.75379577373616
72,73,60000,1,3,0,75,60,120,170,0,0,0,0,209.4,5,7,120,1,0,0,0,1,0,0,1,1,0,0,0,109.88258966911644
73,74,60000,1,4,0,75,130,280,330,0,0,0,0,261.01,6,7,80,1,0,0,0,1,0,0,1,1,0,0,0,92.55362538822737
74,75,65000,1,5,0,75,90,120,170,0,0,0,0,234.85,6,7,100,1,0,0,0,1,0,0,1,0,1,0,0,162.4273406489085
75,76,70000,1,4,0,75,130,120,170,0,0,0,0,281.32,4,7,80,1,0,0,0,1,0,1,0,0,1,0,0,9.690967180021858
76,77,40000,1,4,0,75,120,300,350,0,0,0,0,344.41,0,7,40,1,0,0,0,1,0,1,0,1,0,0,0,115.57795863180348
77,78,45000,1,3,0,75,130,120,170,0,0,0,0,315.41,1,7,60,1,0,0,0,1,0,1,0,0,1,0,0,-57.44076356986619
78,79,95000,1,6,0,75,120,120,170,0,0,0,0,347.59,2,7,60,1,0,0,0,1,0,0,1,1,0,0,0,150.80270097120763
79,80,105000,1,4,0,75,120,120,170,0,0,0,0,372.86,3,7,40,1,0,0,0,1,0,0,1,0,1,0,0,26.853938899583113
80,81,75000,1,6,0,75,113,180,230,0,0,0,0,408.79,5,7,60,1,0,0,0,1,0,1,0,0,1,0,0,184.62960730506214
81,82,60000,1,3,0,75,130,120,170,0,0,0,0,389.42,4,7,60,1,0,0,0,1,0,0,1,1,0,0,0,-66.18832201498697
82,83,105000,1,3,0,75,130,120,170,0,0,0,0,415.88,8,7,60,1,0,0,0,1,0,0,1,0,1,0,0,-64.84354065327528
83,84,95000,1,6,0,75,120,220,270,0,0,0,0,465.97,15,7,60,1,0,0,0,1,0,1,0,1,0,0,0,179.37704360768515
84,85,80000,1,4,0,75,130,120,170,0,0,0,0,491.23,11,7,80,1,0,0,0,1,0,1,0,1,0,0,0,-19.403242727655595
85,86,45000,1,3,0,75,92,120,170,0,0,0,0,434.01,4,7,90,1,0,0,0,1,0,1,0,1,0,0,0,9.728168133771817
86,87,60000,1,3,0,75,92,180,230,0,0,0,0,491.92,3,7,90,1,0,0,0,1,0,0,1,0,1,0,0,36.96485378895136
87,88,85000,1,6,0,75,122,120,170,0,0,0,0,422.2,3,7,60,1,0,0,0,1,0,0,1,0,1,0,0,134.8508101520967
88,89,45000,1,3,0,75,62,190,240,0,0,0,0,349.23,8,7,120,1,0,0,0,1,0,0,1,1,0,0,0,120.15408244385304
89,90,45000,1,3,0,75,62,120,170,0,0,0,0,326.96,10,7,120,1,0,0,0,1,0,1,0,0,1,0,0,85.06988531288863
90,91,45000,1,4,0,75,55,165,210,0,0,0,0,297.43,7,7,200,1,0,0,0,1,0,1,0,0,1,0,0,190.22188800400212
91,92,45000,1,4,0,75,62,165,210,0,0,0,0,345.24,11,7,160,1,0,0,0,1,0,1,0,0,1,0,0,166.12631642729036
92,93,45000,1,6,0,75,132,100,150,0,0,0,0,318.68,10,7,120,1,0,0,0,1,0,1,0,1,0,0,0,103.82702569313767
93,94,45000,1,6,0,75,132,165,210,0,0,0,0,292.31,9,7,120,1,0,0,0,1,0,0,1,1,0,0,0,141.3007836630789
94,95,45000,1,6,0,75,135,120,170,0,0,0,0,320.98,10,7,120,1,0,0,0,1,0,1,0,0,0,0,1,107.3403172013052
95,96,45000,1,3,0,75,62,165,210,0,0,0,0,359.9,16,7,120,1,0,0,0,1,0,1,0,0,0,0,1,100.00614110564845
96,97,45000,1,4,0,75,92,165,210,0,0,0,0,322.58,12,7,120,1,0,0,0,1,0,0,1,0,0,0,1,102.02367132593707
97,98,50000,1,4,0,75,55,200,250,0,0,0,0,266.32,10,7,200,1,0,0,0,1,0,1,0,1,0,0,0,211.39618568426502
98,99,80000,1,4,0,75,92,165,210,0,0,0,0,364.61,9,7,120,1,0,0,0,1,0,1,0,1,0,0,0,104.60008340836373
99,100,70000,1,5,0,75,25,285,330,0,0,0,0,239.56,2,7,400,1,0,0,0,1,0,0,1,1,0,0,0,394.50021818467997
100,101,85000,1,6,107,74,32,240,290,0,0,0,0,90.27,2,7,420,1,0,0,0,1,0,0,1,0,1,0,0,484.7850392756296
101,102,105000,1,3,107,74,13,480,300,0,0,0,0,201.42,2,7,390,1,0,0,0,1,0,0,1,1,0,0,0,443.35851912409197
102,103,40000,1,4,107,74,42,285,330,0,0,0,0,154.25,3,7,320,1,0,0,0,1,0,1,0,1,0,0,0,348.1069896556208
103,104,65000,1,5,107,74,62,210,260,0,0,0,0,169.96,3,7,300,1,0,0,0,1,0,0,1,1,0,0,0,328.2510083023918
104,105,85000,1,6,107,74,65,165,210,0,0,0,0,173.93,6,7,300,1,0,0,0,1,0,1,0,1,0,0,0,359.4655774095237
105,106,60000,1,3,107,74,25,405,450,0,0,0,0,144.14,6,7,330,1,0,0,0,1,0,1,0,0,1,0,0,389.72317379152275
106,107,75000,1,4,107,74,25,200,250,0,0,0,0,164.0,6,7,320,1,0,0,0,1,0,1,0,0,0,0,1,344.14066727661765
107,108,55000,1,5,107,74,25,285,330,0,0,0,0,108.26,2,7,400,1,0,0,0,1,0,1,0,1,0,0,0,455.336162978804
108,109,95000,1,6,107,74,42,210,260,0,0,0,0,113.89,2,7,360,1,0,0,0,1,0,0,1,0,1,0,0,445.79800238128183
109,110,75000,1,4,107,74,32,330,380,0,0,0,0,183.35,1,7,360,1,0,0,0,1,0,1,0,0,1,0,0,397.44528339170677
110,111,85000,1,6,107,74,52,165,210,0,0,0,0,226.74,2,7,300,1,0,0,0,1,0,1,0,1,0,0,0,384.3712428730338
111,112,85000,1,4,107,74,42,240,290,0,0,0,0,283.47,1,7,280,1,0,0,0,1,0,1,0,1,0,0,0,317.7470568439145
112,113,85000,1,3,107,74,25,360,410,0,0,0,0,261.69,2,7,300,1,0,0,0,1,0,1,0,0,1,0,0,358.9064772140665
113,114,85000,1,4,107,74,25,405,450,0,0,0,0,118.68,2,7,440,1,0,0,1,0,0,0,1,0,1,0,0,459.03617760282947
114,115,85000,1,5,107,74,22,450,500,0,0,0,0,33.53,1,7,600,1,0,0,0,1,0,0,1,1,0,0,0,563.0689316717987
115,116,85000,1,5,107,74,52,210,260,0,0,0,0,142.44,2,7,300,1,0,0,0,1,0,0,1,1,0,0,0,357.67585511465
