,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Shortest distance,Height diff,LULC,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
1326,127,60000,1,3,147,74,13,480,300,0,0,0,0,97.74,3,7,570,1,0,0,1,0,0,0,1,0,1,0,0,598.8733265513889
1327,128,40000,1,4,147,74,22,450,500,0,0,0,0,32.02,1,7,680,1,0,0,1,0,0,1,0,1,0,0,0,609.2706723208707
1328,129,95000,1,6,147,74,42,240,290,0,0,0,0,79.88,0,7,660,1,0,0,1,0,0,0,1,0,1,0,0,632.0598973427582
1329,130,45000,1,3,147,74,13,480,300,0,0,0,1,95.52,4,7,570,1,0,0,0,1,0,1,0,0,1,0,0,598.8733265513889
1330,131,85000,1,4,147,74,25,405,450,0,0,0,0,56.01,1,7,640,1,0,0,1,0,0,0,1,0,1,0,0,604.5563103380479
1331,132,60000,1,3,147,74,22,450,500,0,0,0,0,94.37,1,7,540,1,0,0,0,1,0,1,0,1,0,0,0,580.997431749446
1332,133,75000,1,4,147,74,15,480,300,0,0,0,0,23.85,1,7,720,1,0,0,0,1,0,0,1,0,1,0,0,626.1626515677377
1333,134,80000,1,4,147,74,25,300,350,0,0,0,0,74.17,1,7,640,1,0,0,1,0,0,1,0,0,1,0,0,539.6831082922604
1334,135,95000,1,6,147,74,42,240,290,0,0,0,0,79.2,1,7,660,1,0,0,1,0,0,0,1,1,0,0,0,632.0598973427582
1335,136,95000,1,6,147,74,32,330,380,0,0,0,0,30.59,1,7,780,1,0,0,0,1,0,1,0,0,1,0,0,779.1014818108994
1336,137,95000,1,4,147,74,22,450,500,0,0,0,0,67.08,2,7,680,1,0,0,1,0,0,1,0,1,0,0,0,609.2706723208707
1337,138,95000,1,5,147,74,32,230,280,0,0,0,0,69.35,2,7,650,1,0,0,0,1,0,0,1,0,1,0,0,736.9255956932366
1338,139,95000,1,3,147,74,5,600,450,0,0,0,0,49.48,1,7,660,1,0,0,0,1,0,1,0,0,1,0,0,716.0892235775008
1339,140,95000,1,3,147,74,5,480,300,0,0,0,0,45.88,0,7,660,1,0,0,0,1,0,0,1,1,0,0,0,649.0955544514255
1340,141,95000,1,4,147,74,25,360,410,0,0,0,0,93.91,3,7,600,1,0,0,1,0,0,0,1,1,0,0,0,540.1113358387878
1341,142,75000,1,6,147,74,25,280,330,0,0,0,0,10.77,0,7,840,1,0,0,0,1,0,0,1,0,1,0,0,771.2689233489394
1342,143,95000,1,6,147,74,35,285,330,0,0,0,0,60.44,2,7,720,1,0,0,0,1,0,0,1,0,1,0,0,640.4625089530866
1343,144,60000,1,3,147,74,5,720,380,0,0,0,0,35.44,1,7,750,1,0,0,1,0,0,1,0,0,1,0,0,717.7438119976355
1344,145,75000,1,4,147,74,22,450,500,0,0,0,0,59.51,0,7,680,1,0,0,1,0,0,1,0,0,1,0,0,609.2706723208707
1345,146,40000,1,4,147,74,25,180,230,0,0,0,0,99.76,1,7,600,1,0,0,0,1,0,1,0,0,1,0,0,538.8656972250667
1346,147,65000,1,5,147,74,35,285,330,0,0,0,0,89.47,2,7,600,1,0,0,0,1,0,0,1,0,1,0,0,476.5210223839632
1347,148,85000,1,6,147,74,35,300,350,0,0,0,0,57.71,1,7,720,1,0,0,1,0,0,1,0,1,0,0,0,641.8320645086422
1348,149,40000,1,4,147,74,62,120,170,0,0,0,0,229.59,8,7,360,1,0,0,0,1,0,1,0,1,0,0,0,415.25068869209446
1349,150,45000,1,3,147,74,5,645,400,0,0,0,0,36.36,1,7,690,1,0,0,1,0,0,1,0,0,1,0,0,717.7438119976355
1350,151,65000,1,5,147,74,35,285,330,0,0,0,0,129.4,5,7,600,1,0,0,0,1,0,0,1,0,1,0,0,476.5210223839632
1351,152,40000,1,4,147,74,32,360,410,0,0,0,0,121.5,4,7,600,1,0,0,0,1,0,0,1,1,0,0,0,539.0563963226588
