,ID,Household income,Education,Household size,Rainfall,Ave temp,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
49,50,100000,1,6,0,75,300,350,0,0,0,0,120,1,0,0,0,1,0,1,0,1,0,0,0,517.274036025146
50,51,90000,1,6,0,75,120,170,0,0,0,0,180,1,0,0,0,1,0,0,1,1,0,0,0,264.7036500491916
51,52,105000,1,6,0,75,240,290,0,0,0,0,180,1,0,0,0,1,0,0,1,0,1,0,0,428.53105531794546
52,53,75000,1,4,0,75,120,170,0,0,0,0,160,1,0,0,0,1,0,0,1,1,0,0,0,194.21876564301152
53,54,75000,1,4,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,1,0,0,194.21876564301152
54,55,75000,1,6,0,75,200,250,0,0,0,0,120,1,0,0,0,1,0,1,0,1,0,0,0,340.9970701407423
55,56,75000,1,4,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,1,0,0,194.21876564301152
56,57,75000,1,5,0,75,310,360,0,0,0,0,200,1,0,0,0,1,0,1,0,1,0,0,0,390.1824859225733
57,58,75000,1,3,0,75,285,330,0,0,0,0,240,1,0,0,1,0,0,0,1,1,0,0,0,289.2627524598101
58,59,75000,1,3,0,75,330,380,0,0,0,0,270,1,0,0,0,1,0,0,1,1,0,0,0,288.7521011445926
59,60,75000,1,3,0,75,280,330,0,0,0,0,300,1,0,0,1,0,0,0,1,1,0,0,0,287.02417721882034
60,61,80000,1,4,0,75,210,260,0,0,0,0,240,1,0,0,0,1,0,0,1,0,1,0,0,240.1747268180784
61,62,40000,1,4,0,75,165,210,0,0,0,0,200,1,0,0,0,1,0,1,0,0,1,0,0,233.2501616816422
62,63,75000,1,4,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,1,0,0,0,0,1,212.29189565109024
63,64,40000,1,4,0,75,100,150,0,0,0,0,80,1,0,0,0,1,0,1,0,0,0,0,1,208.51096995260284
64,65,45000,1,3,0,75,165,210,0,0,0,0,60,1,0,0,0,1,0,0,1,0,0,0,1,214.2340310636264
65,66,90000,1,6,0,75,165,210,0,0,0,0,60,1,0,0,0,1,0,0,1,0,1,0,0,298.96623761025296
66,67,50000,1,4,0,75,200,250,0,0,0,0,120,1,0,0,1,0,0,0,1,0,1,0,0,263.29036534079273
67,68,60000,1,3,0,75,165,210,0,0,0,0,90,1,0,0,1,0,0,0,1,0,1,0,0,268.3733895525659
68,69,60000,1,4,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,0,1,0,1,0,0,218.46263574939272
69,70,60000,1,6,0,75,310,360,0,0,0,0,60,1,0,0,0,1,0,0,1,0,1,0,0,499.4154127980915
70,71,60000,1,4,0,75,165,210,0,0,0,0,40,1,0,0,0,1,0,1,0,1,0,0,0,218.46263574939272
71,72,60000,1,5,0,75,165,210,0,0,0,0,100,1,0,0,0,1,0,1,0,1,0,0,0,246.17383349712466
72,73,60000,1,3,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,0,1,1,0,0,0,197.13160433240066
73,74,60000,1,4,0,75,280,330,0,0,0,0,80,1,0,0,0,1,0,0,1,1,0,0,0,289.32454336093093
74,75,65000,1,5,0,75,120,170,0,0,0,0,100,1,0,0,0,1,0,0,1,0,1,0,0,216.57679070593795
75,76,70000,1,4,0,75,120,170,0,0,0,0,80,1,0,0,0,1,0,1,0,0,1,0,0,194.71800327907513
76,77,40000,1,4,0,75,300,350,0,0,0,0,40,1,0,0,0,1,0,1,0,1,0,0,0,304.8578274472097
77,78,45000,1,3,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,1,0,0,1,0,0,205.65350179359464
78,79,95000,1,6,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,0,1,1,0,0,0,269.40375317716035
79,80,105000,1,4,0,75,120,170,0,0,0,0,40,1,0,0,0,1,0,0,1,0,1,0,0,215.09843536999497
80,81,75000,1,6,0,75,180,230,0,0,0,0,60,1,0,0,0,1,0,1,0,0,1,0,0,311.2973058915413
81,82,60000,1,3,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,0,1,1,0,0,0,197.13160433240066
82,83,105000,1,3,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,0,1,0,1,0,0,226.32857837334097
83,84,95000,1,6,0,75,220,270,0,0,0,0,60,1,0,0,0,1,0,1,0,1,0,0,0,389.0198624352043
84,85,80000,1,4,0,75,120,170,0,0,0,0,80,1,0,0,0,1,0,1,0,1,0,0,0,194.09609418489308
85,86,45000,1,3,0,75,120,170,0,0,0,0,90,1,0,0,0,1,0,1,0,1,0,0,0,205.65350179359464
86,87,60000,1,3,0,75,180,230,0,0,0,0,90,1,0,0,0,1,0,0,1,0,1,0,0,208.5147841075749
87,88,85000,1,6,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,0,1,0,1,0,0,260.75583304334606
88,89,45000,1,3,0,75,190,240,0,0,0,0,120,1,0,0,0,1,0,0,1,1,0,0,0,225.5868814852494
89,90,45000,1,3,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,1,0,0,205.65350179359464
90,91,45000,1,4,0,75,165,210,0,0,0,0,200,1,0,0,0,1,0,1,0,0,1,0,0,229.11225496823545
91,92,45000,1,4,0,75,165,210,0,0,0,0,160,1,0,0,0,1,0,1,0,0,1,0,0,229.11225496823545
92,93,45000,1,6,0,75,100,150,0,0,0,0,120,1,0,0,0,1,0,1,0,1,0,0,0,244.51631388088188
93,94,45000,1,6,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,0,1,1,0,0,0,292.75088904972284
94,95,45000,1,6,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,0,0,1,256.41654791938964
95,96,45000,1,3,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,1,0,0,0,0,1,214.2340310636264
96,97,45000,1,4,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,0,1,0,0,0,1,229.11225496823545
