,ID,Household income,Education,Household size,Rainfall,Ave temp,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
50,51,90000,1,6,0,75,120,170,0,0,0,0,180,1,0,0,0,1,0,0,1,1,0,0,0,242.4021573155789
51,52,105000,1,6,0,75,240,290,0,0,0,0,180,1,0,0,0,1,0,0,1,0,1,0,0,378.3351108201792
52,53,75000,1,4,0,75,120,170,0,0,0,0,160,1,0,0,0,1,0,0,1,1,0,0,0,112.34866580059577
53,54,75000,1,4,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,1,0,0,112.34866580059577
54,55,75000,1,6,0,75,200,250,0,0,0,0,120,1,0,0,0,1,0,1,0,1,0,0,0,328.4241655684635
55,56,75000,1,4,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,1,0,0,112.34866580059577
56,57,75000,1,5,0,75,310,360,0,0,0,0,200,1,0,0,0,1,0,1,0,1,0,0,0,386.8526370026433
57,58,75000,1,3,0,75,285,330,0,0,0,0,240,1,0,0,1,0,0,0,1,1,0,0,0,249.69082100936836
58,59,75000,1,3,0,75,330,380,0,0,0,0,270,1,0,0,0,1,0,0,1,1,0,0,0,281.754618113518
59,60,75000,1,3,0,75,280,330,0,0,0,0,300,1,0,0,1,0,0,0,1,1,0,0,0,246.29880083048133
60,61,80000,1,4,0,75,210,260,0,0,0,0,240,1,0,0,0,1,0,0,1,0,1,0,0,213.14839074150044
61,62,40000,1,4,0,75,165,210,0,0,0,0,200,1,0,0,0,1,0,1,0,0,1,0,0,153.69173328072458
62,63,75000,1,4,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,1,0,0,0,0,1,160.13167833097978
63,64,40000,1,4,0,75,100,150,0,0,0,0,80,1,0,0,0,1,0,1,0,0,0,0,1,83.71322457459206
