,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Shortest distance,Height diff,LULC,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
42,43,40000,1,4,0,75,65,120,170,0,0,0,0,188.4,4,7,120,1,0,0,0,1,0,0,1,0,1,0,0,188.68420019125222
43,44,60000,1,3,0,75,60,120,170,0,0,0,0,139.45,4,7,120,1,0,0,0,1,0,1,0,0,1,0,0,155.33991545944613
44,45,65000,1,4,0,75,40,180,230,0,0,0,0,74.4,3,7,240,1,0,0,1,0,0,1,0,1,0,0,0,249.8647695857705
45,46,100000,1,4,0,75,25,360,410,0,0,0,0,35.36,1,7,400,0,1,0,1,0,0,1,0,1,0,0,0,374.6085416135393
46,47,70000,1,5,0,75,25,285,330,0,0,0,0,51.62,1,7,400,0,1,0,1,0,0,0,1,1,0,0,0,400.90616023932995
47,48,100000,1,6,0,75,55,240,290,0,0,0,0,90.8,1,7,240,1,0,0,1,0,0,0,1,0,1,0,0,356.0855981750624
48,49,85000,1,6,0,75,50,120,170,0,0,0,0,136.56,2,7,120,1,0,0,0,1,0,1,0,1,0,0,0,309.51405653843665
49,50,100000,1,6,0,75,65,300,350,0,0,0,0,150.72,4,7,120,1,0,0,0,1,0,1,0,1,0,0,0,318.4855053203329
50,51,90000,1,6,0,75,75,120,170,0,0,0,0,102.08,1,7,180,1,0,0,0,1,0,0,1,1,0,0,0,266.80809834069055
51,52,105000,1,6,0,75,50,240,290,0,0,0,0,114.39,3,7,180,1,0,0,0,1,0,0,1,0,1,0,0,385.93474340752425
52,53,75000,1,4,0,75,60,120,170,0,0,0,0,139.29,4,7,160,1,0,0,0,1,0,0,1,1,0,0,0,192.004244894299
53,54,75000,1,4,0,75,75,120,170,0,0,0,0,188.53,3,7,120,1,0,0,0,1,0,1,0,0,1,0,0,166.3120475005402
54,55,75000,1,6,0,75,50,200,250,0,0,0,0,189.11,3,7,120,1,0,0,0,1,0,1,0,1,0,0,0,337.57933855050237
55,56,75000,1,4,0,75,70,120,170,0,0,0,0,151.82,3,7,120,1,0,0,0,1,0,1,0,0,1,0,0,174.3624856599534
56,57,75000,1,5,0,75,60,310,360,0,0,0,0,98.27,3,7,200,1,0,0,0,1,0,1,0,1,0,0,0,274.5135127604916
57,58,75000,1,3,0,75,35,285,330,0,0,0,0,66.1,3,7,240,1,0,0,1,0,0,0,1,1,0,0,0,254.5271606692413
58,59,75000,1,3,0,75,30,330,380,0,0,0,0,54.04,2,7,270,1,0,0,0,1,0,0,1,1,0,0,0,281.48390896262333
59,60,75000,1,3,0,75,25,280,330,0,0,0,0,37.12,1,7,300,1,0,0,1,0,0,0,1,1,0,0,0,282.8903422003078
60,61,80000,1,4,0,75,40,210,260,0,0,0,0,77.16,2,7,240,1,0,0,0,1,0,0,1,0,1,0,0,261.47497291551196
61,62,40000,1,4,0,75,45,165,210,0,0,0,0,118.44,2,7,200,1,0,0,0,1,0,1,0,0,1,0,0,231.15398622194178
62,63,75000,1,4,0,75,50,165,210,0,0,0,0,176.82,3,7,120,1,0,0,0,1,0,1,0,0,0,0,1,219.68384395601572
63,64,40000,1,4,0,75,90,100,150,0,0,0,0,235.36,6,7,80,1,0,0,0,1,0,1,0,0,0,0,1,165.82747299981975
64,65,45000,1,3,0,75,130,165,210,0,0,0,0,254.87,7,7,60,1,0,0,0,1,0,0,1,0,0,0,1,81.47303105518671
65,66,90000,1,6,0,75,120,165,210,0,0,0,0,296.1,9,7,60,1,0,0,0,1,0,0,1,0,1,0,0,104.23104626895868
66,67,50000,1,4,0,75,50,200,250,0,0,0,0,207.2,5,7,120,1,0,0,1,0,0,0,1,0,1,0,0,213.98633330146532
67,68,60000,1,3,0,75,75,165,210,0,0,0,0,238.32,6,7,90,1,0,0,1,0,0,0,1,0,1,0,0,157.0044787529273
68,69,60000,1,4,0,75,70,165,210,0,0,0,0,197.28,5,7,120,1,0,0,0,1,0,0,1,0,1,0,0,183.92988251126008
69,70,60000,1,6,0,75,120,310,360,0,0,0,0,228.64,6,7,60,1,0,0,0,1,0,0,1,0,1,0,0,67.04011059987138
70,71,60000,1,4,0,75,120,165,210,0,0,0,0,237.98,6,7,40,1,0,0,0,1,0,1,0,1,0,0,0,95.30783511044106
71,72,60000,1,5,0,75,130,165,210,0,0,0,0,197.31,5,7,100,1,0,0,0,1,0,1,0,1,0,0,0,58.57594881752978
72,73,60000,1,3,0,75,60,120,170,0,0,0,0,209.4,5,7,120,1,0,0,0,1,0,0,1,1,0,0,0,157.84437990538314
73,74,60000,1,4,0,75,130,280,330,0,0,0,0,261.01,6,7,80,1,0,0,0,1,0,0,1,1,0,0,0,-3.5514626523902537
74,75,65000,1,5,0,75,90,120,170,0,0,0,0,234.85,6,7,100,1,0,0,0,1,0,0,1,0,1,0,0,194.15462003943242
75,76,70000,1,4,0,75,130,120,170,0,0,0,0,281.32,4,7,80,1,0,0,0,1,0,1,0,0,1,0,0,99.52480629944128
76,77,40000,1,4,0,75,120,300,350,0,0,0,0,344.41,0,7,40,1,0,0,0,1,0,1,0,1,0,0,0,17.403850987917988
77,78,45000,1,3,0,75,130,120,170,0,0,0,0,315.41,1,7,60,1,0,0,0,1,0,1,0,0,1,0,0,122.80947678115253
78,79,95000,1,6,0,75,120,120,170,0,0,0,0,347.59,2,7,60,1,0,0,0,1,0,0,1,1,0,0,0,130.79989376876787
79,80,105000,1,4,0,75,120,120,170,0,0,0,0,372.86,3,7,40,1,0,0,0,1,0,0,1,0,1,0,0,134.8241228006755
80,81,75000,1,6,0,75,113,180,230,0,0,0,0,408.79,5,7,60,1,0,0,0,1,0,1,0,0,1,0,0,133.7555191602036
81,82,60000,1,3,0,75,130,120,170,0,0,0,0,389.42,4,7,60,1,0,0,0,1,0,0,1,1,0,0,0,118.73331985063083
82,83,105000,1,3,0,75,130,120,170,0,0,0,0,415.88,8,7,60,1,0,0,0,1,0,0,1,0,1,0,0,116.20590643425118
83,84,95000,1,6,0,75,120,220,270,0,0,0,0,465.97,15,7,60,1,0,0,0,1,0,1,0,1,0,0,0,86.87835281175657
84,85,80000,1,4,0,75,130,120,170,0,0,0,0,491.23,11,7,80,1,0,0,0,1,0,1,0,1,0,0,0,104.41097431043599
85,86,45000,1,3,0,75,92,120,170,0,0,0,0,434.01,4,7,90,1,0,0,0,1,0,1,0,1,0,0,0,149.04186935451372
86,87,60000,1,3,0,75,92,180,230,0,0,0,0,491.92,3,7,90,1,0,0,0,1,0,0,1,0,1,0,0,160.59605767070886
87,88,85000,1,6,0,75,122,120,170,0,0,0,0,422.2,3,7,60,1,0,0,0,1,0,0,1,0,1,0,0,126.189400203426
88,89,45000,1,3,0,75,62,190,240,0,0,0,0,349.23,8,7,120,1,0,0,0,1,0,0,1,1,0,0,0,173.55901393924103
89,90,45000,1,3,0,75,62,120,170,0,0,0,0,326.96,10,7,120,1,0,0,0,1,0,1,0,0,1,0,0,163.84800295021853
90,91,45000,1,4,0,75,55,165,210,0,0,0,0,297.43,7,7,200,1,0,0,0,1,0,1,0,0,1,0,0,210.04519219589326
91,92,45000,1,4,0,75,62,165,210,0,0,0,0,345.24,11,7,160,1,0,0,0,1,0,1,0,0,1,0,0,202.97838636641052
92,93,45000,1,6,0,75,132,100,150,0,0,0,0,318.68,10,7,120,1,0,0,0,1,0,1,0,1,0,0,0,143.27328922945952
93,94,45000,1,6,0,75,132,165,210,0,0,0,0,292.31,9,7,120,1,0,0,0,1,0,0,1,1,0,0,0,92.5963146532513
94,95,45000,1,6,0,75,135,120,170,0,0,0,0,320.98,10,7,120,1,0,0,0,1,0,1,0,0,0,0,1,111.72321306671937
95,96,45000,1,3,0,75,62,165,210,0,0,0,0,359.9,16,7,120,1,0,0,0,1,0,1,0,0,0,0,1,177.42946352342977
96,97,45000,1,4,0,75,92,165,210,0,0,0,0,322.58,12,7,120,1,0,0,0,1,0,0,1,0,0,0,1,171.9287849482246
97,98,50000,1,4,0,75,55,200,250,0,0,0,0,266.32,10,7,200,1,0,0,0,1,0,1,0,1,0,0,0,225.9004889991761
98,99,80000,1,4,0,75,92,165,210,0,0,0,0,364.61,9,7,120,1,0,0,0,1,0,1,0,1,0,0,0,169.0951361431775
99,100,70000,1,5,0,75,25,285,330,0,0,0,0,239.56,2,7,400,1,0,0,0,1,0,0,1,1,0,0,0,386.5124012321385
100,101,85000,1,6,107,74,32,240,290,0,0,0,0,90.27,2,7,420,1,0,0,0,1,0,0,1,0,1,0,0,521.7385363826158
101,102,105000,1,3,107,74,13,480,300,0,0,0,0,201.42,2,7,390,1,0,0,0,1,0,0,1,1,0,0,0,444.45923096835764
102,103,40000,1,4,107,74,42,285,330,0,0,0,0,154.25,3,7,320,1,0,0,0,1,0,1,0,1,0,0,0,367.6084257434354
103,104,65000,1,5,107,74,62,210,260,0,0,0,0,169.96,3,7,300,1,0,0,0,1,0,0,1,1,0,0,0,361.29093308256154
104,105,85000,1,6,107,74,65,165,210,0,0,0,0,173.93,6,7,300,1,0,0,0,1,0,1,0,1,0,0,0,390.61881980983327
105,106,60000,1,3,107,74,25,405,450,0,0,0,0,144.14,6,7,330,1,0,0,0,1,0,1,0,0,1,0,0,378.96834825395655
