,ID,Household income,Education,Household size,Rainfall,Ave temp,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
43,44,60000,1,3,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,1,0,0,118.81527025324151
44,45,65000,1,4,0,75,180,230,0,0,0,0,240,1,0,0,1,0,0,1,0,1,0,0,0,215.46449304686027
45,46,100000,1,4,0,75,360,410,0,0,0,0,400,0,1,0,1,0,0,1,0,1,0,0,0,362.44464108171576
46,47,70000,1,5,0,75,285,330,0,0,0,0,400,0,1,0,1,0,0,0,1,1,0,0,0,364.1399464661411
47,48,100000,1,6,0,75,240,290,0,0,0,0,240,1,0,0,1,0,0,0,1,0,1,0,0,374.55844767793883
48,49,85000,1,6,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,1,0,0,0,130.25013646936017
49,50,100000,1,6,0,75,300,350,0,0,0,0,120,1,0,0,0,1,0,1,0,1,0,0,0,325.9834137462686
50,51,90000,1,6,0,75,120,170,0,0,0,0,180,1,0,0,0,1,0,0,1,1,0,0,0,130.76263646936016
51,52,105000,1,6,0,75,240,290,0,0,0,0,180,1,0,0,0,1,0,0,1,0,1,0,0,315.3651105162057
52,53,75000,1,4,0,75,120,170,0,0,0,0,160,1,0,0,0,1,0,0,1,1,0,0,0,140.9248972994405
53,54,75000,1,4,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,1,0,0,140.9248972994405
54,55,75000,1,6,0,75,200,250,0,0,0,0,120,1,0,0,0,1,0,1,0,1,0,0,0,349.9689647797404
55,56,75000,1,4,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,1,0,0,140.9248972994405
56,57,75000,1,5,0,75,310,360,0,0,0,0,200,1,0,0,0,1,0,1,0,1,0,0,0,336.87740263651574
57,58,75000,1,3,0,75,285,330,0,0,0,0,240,1,0,0,1,0,0,0,1,1,0,0,0,244.219211141658
58,59,75000,1,3,0,75,330,380,0,0,0,0,270,1,0,0,0,1,0,0,1,1,0,0,0,348.78460180719514
59,60,75000,1,3,0,75,280,330,0,0,0,0,300,1,0,0,1,0,0,0,1,1,0,0,0,242.69048185666648
60,61,80000,1,4,0,75,210,260,0,0,0,0,240,1,0,0,0,1,0,0,1,0,1,0,0,211.05439645196049
61,62,40000,1,4,0,75,165,210,0,0,0,0,200,1,0,0,0,1,0,1,0,0,1,0,0,203.69908272290996
62,63,75000,1,4,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,1,0,0,0,0,1,223.79981498818233
63,64,40000,1,4,0,75,100,150,0,0,0,0,80,1,0,0,0,1,0,1,0,0,0,0,1,202.80267613927816
64,65,45000,1,3,0,75,165,210,0,0,0,0,60,1,0,0,0,1,0,0,1,0,0,0,1,180.71292282466354
65,66,90000,1,6,0,75,165,210,0,0,0,0,60,1,0,0,0,1,0,0,1,0,1,0,0,270.69680463689696
66,67,50000,1,4,0,75,200,250,0,0,0,0,120,1,0,0,1,0,0,0,1,0,1,0,0,212.23055383229192
67,68,60000,1,3,0,75,165,210,0,0,0,0,90,1,0,0,1,0,0,0,1,0,1,0,0,180.01917282466354
68,69,60000,1,4,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,0,1,0,1,0,0,200.8738735814991
69,70,60000,1,6,0,75,310,360,0,0,0,0,60,1,0,0,0,1,0,0,1,0,1,0,0,358.31817113541643
70,71,60000,1,4,0,75,165,210,0,0,0,0,40,1,0,0,0,1,0,1,0,1,0,0,0,200.8738735814991
71,72,60000,1,5,0,75,165,210,0,0,0,0,100,1,0,0,0,1,0,1,0,1,0,0,0,214.39757947301896
72,73,60000,1,3,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,0,1,1,0,0,0,118.81527025324151
73,74,60000,1,4,0,75,280,330,0,0,0,0,80,1,0,0,0,1,0,0,1,1,0,0,0,288.4641622792344
74,75,65000,1,5,0,75,120,170,0,0,0,0,100,1,0,0,0,1,0,0,1,0,1,0,0,140.69922162376483
75,76,70000,1,4,0,75,120,170,0,0,0,0,80,1,0,0,0,1,0,1,0,0,1,0,0,140.9248972994405
76,77,40000,1,4,0,75,300,350,0,0,0,0,40,1,0,0,0,1,0,1,0,1,0,0,0,288.6240723173038
77,78,45000,1,3,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,1,0,0,1,0,0,125.00083888886893
78,79,95000,1,6,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,0,1,1,0,0,0,131.57946416662264
79,80,105000,1,4,0,75,120,170,0,0,0,0,40,1,0,0,0,1,0,0,1,0,1,0,0,128.08651505532447
80,81,75000,1,6,0,75,180,230,0,0,0,0,60,1,0,0,0,1,0,1,0,0,1,0,0,259.40044587323723
81,82,60000,1,3,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,0,1,1,0,0,0,118.81527025324151
82,83,105000,1,3,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,0,1,0,1,0,0,110.97514180621367
