,ID,Household income,Education,Household size,Rainfall,Ave temp,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
50,51,90000,1,6,0,75,120,170,0,0,0,0,180,1,0,0,0,1,0,0,1,1,0,0,0,139.57406230895546
51,52,105000,1,6,0,75,240,290,0,0,0,0,180,1,0,0,0,1,0,0,1,0,1,0,0,380.5390461258153
52,53,75000,1,4,0,75,120,170,0,0,0,0,160,1,0,0,0,1,0,0,1,1,0,0,0,140.87462397239725
53,54,75000,1,4,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,1,0,0,140.87462397239725
54,55,75000,1,6,0,75,200,250,0,0,0,0,120,1,0,0,0,1,0,1,0,1,0,0,0,331.85706659374694
55,56,75000,1,4,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,1,0,0,140.87462397239725
56,57,75000,1,5,0,75,310,360,0,0,0,0,200,1,0,0,0,1,0,1,0,1,0,0,0,323.084644451534
57,58,75000,1,3,0,75,285,330,0,0,0,0,240,1,0,0,1,0,0,0,1,1,0,0,0,276.0150366111211
58,59,75000,1,3,0,75,330,380,0,0,0,0,270,1,0,0,0,1,0,0,1,1,0,0,0,347.22090368787235
59,60,75000,1,3,0,75,280,330,0,0,0,0,300,1,0,0,1,0,0,0,1,1,0,0,0,269.8978928957817
60,61,80000,1,4,0,75,210,260,0,0,0,0,240,1,0,0,0,1,0,0,1,0,1,0,0,210.20275518828305
61,62,40000,1,4,0,75,165,210,0,0,0,0,200,1,0,0,0,1,0,1,0,0,1,0,0,208.91849021574595
62,63,75000,1,4,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,1,0,0,0,0,1,214.44390009041695
63,64,40000,1,4,0,75,100,150,0,0,0,0,80,1,0,0,0,1,0,1,0,0,0,0,1,133.9350538969351
64,65,45000,1,3,0,75,165,210,0,0,0,0,60,1,0,0,0,1,0,0,1,0,0,0,1,205.9468542064331
65,66,90000,1,6,0,75,165,210,0,0,0,0,60,1,0,0,0,1,0,0,1,0,1,0,0,273.30937290815103
66,67,50000,1,4,0,75,200,250,0,0,0,0,120,1,0,0,1,0,0,0,1,0,1,0,0,204.58244009299398
67,68,60000,1,3,0,75,165,210,0,0,0,0,90,1,0,0,1,0,0,0,1,0,1,0,0,206.57712367856303
68,69,60000,1,4,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,0,1,0,1,0,0,207.52901653153546
69,70,60000,1,6,0,75,310,360,0,0,0,0,60,1,0,0,0,1,0,0,1,0,1,0,0,408.7725952175843
70,71,60000,1,4,0,75,165,210,0,0,0,0,40,1,0,0,0,1,0,1,0,1,0,0,0,207.52901653153546
71,72,60000,1,5,0,75,165,210,0,0,0,0,100,1,0,0,0,1,0,1,0,1,0,0,0,219.11566510798485
72,73,60000,1,3,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,0,1,1,0,0,0,125.29011688262334
73,74,60000,1,4,0,75,280,330,0,0,0,0,80,1,0,0,0,1,0,0,1,1,0,0,0,264.7444782960662
74,75,65000,1,5,0,75,120,170,0,0,0,0,100,1,0,0,0,1,0,0,1,0,1,0,0,141.80001772757822
75,76,70000,1,4,0,75,120,170,0,0,0,0,80,1,0,0,0,1,0,1,0,0,1,0,0,140.87462397239725
76,77,40000,1,4,0,75,300,350,0,0,0,0,40,1,0,0,0,1,0,1,0,1,0,0,0,269.51921129711985
77,78,45000,1,3,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,1,0,0,1,0,0,125.29011688262334
78,79,95000,1,6,0,75,120,170,0,0,0,0,60,1,0,0,0,1,0,0,1,1,0,0,0,139.22262592671024
79,80,105000,1,4,0,75,120,170,0,0,0,0,40,1,0,0,0,1,0,0,1,0,1,0,0,138.06018196016112
80,81,75000,1,6,0,75,180,230,0,0,0,0,60,1,0,0,0,1,0,1,0,0,1,0,0,263.8782676092931
